Date,Campaign,Platform,Placement,Age_Group,Region,Device,Spend_USD,Impressions,Reach,Clicks,Engagements,Conversions,Revenue_USD,CTR_%,Engagement_Rate_%,CPA_USD,ROAS,ROI_%
28-01-2025,Campaign 18,Facebook,Stories,18-24,West,Mobile,987.99,66057,43771,1789,6000,489,18442.56,2.71,13.71,2.02,18.67,1766.67
29-01-2025,Campaign 7,Instagram,Reels,25-34,East,Mobile,858.17,80609,47515,1910,8065,599,39881.9,2.37,16.97,1.43,46.47,4547.32
30-01-2025,Campaign 16,Facebook,Explore,18-24,North,Desktop,258.09,78907,65538,3187,5416,939,39708.35,4.04,8.26,0.27,153.85,15285.47
31-01-2025,Campaign 16,Instagram,Explore,45+,West,Mobile,1850.26,85130,69650,3948,8565,999,89866.9,4.64,12.3,1.85,48.57,4756.99
01-02-2025,Campaign 15,Facebook,Stories,18-24,South,Mobile,1619.77,13226,79978,885,689,145,12389.07,6.69,0.86,11.17,7.65,664.87
02-02-2025,Campaign 6,Facebook,Stories,18-24,West,Mobile,498.67,54271,41151,4204,8874,850,23761.16,7.75,21.56,0.59,47.65,4664.91
03-02-2025,Campaign 9,Facebook,Stories,25-34,East,Desktop,549.16,12046,2629,2828,5163,611,43207.38,23.48,196.39,0.9,78.68,7767.9
04-02-2025,Campaign 7,Facebook,Explore,35-44,South,Desktop,112.44,39117,29155,5667,3733,881,9859.57,14.49,12.8,0.13,87.69,8668.74
05-02-2025,Campaign 14,Instagram,Explore,18-24,North,Desktop,628.6,6965,19288,1446,2090,710,68516.85,20.76,10.84,0.89,109,10799.91
06-02-2025,Campaign 11,Instagram,Stories,45+,South,Desktop,1190.01,61478,51588,6459,6615,114,4349.56,10.51,12.82,10.44,3.66,265.51
07-02-2025,Campaign 16,Instagram,Reels,18-24,South,Desktop,870.64,80872,37085,1726,1358,56,4705.4,2.13,3.66,15.55,5.4,440.45
08-02-2025,Campaign 6,Facebook,Feed,18-24,South,Mobile,1940.05,59277,12251,4381,2966,619,21820.36,7.39,24.21,3.13,11.25,1024.73
09-02-2025,Campaign 16,Instagram,Feed,35-44,South,Desktop,159.36,87379,26574,7091,3838,617,40174.86,8.12,14.44,0.26,252.1,25110.13
10-02-2025,Campaign 20,Instagram,Feed,25-34,West,Desktop,1203.29,61613,10623,4363,671,658,64774.26,7.08,6.32,1.83,53.83,5283.1
11-02-2025,Campaign 16,Instagram,Explore,45+,North,Desktop,1723.7,19373,55715,5696,8836,717,63304.82,29.4,15.86,2.4,36.73,3572.61
12-02-2025,Campaign 12,Facebook,Explore,25-34,West,Mobile,987.44,47452,7123,1887,4322,974,19708.66,3.98,60.68,1.01,19.96,1895.93
13-02-2025,Campaign 17,Instagram,Feed,25-34,East,Mobile,55.78,52089,4061,7658,737,323,18414.68,14.7,18.15,0.17,330.13,32913.05
14-02-2025,Campaign 5,Facebook,Feed,25-34,East,Desktop,523.46,8654,40095,3771,8332,203,7736.44,43.58,20.78,2.58,14.78,1377.94
15-02-2025,Campaign 13,Facebook,Reels,18-24,South,Mobile,681.35,33280,60618,5575,4982,800,37009.75,16.75,8.22,0.85,54.32,5331.83
16-02-2025,Campaign 8,Instagram,Explore,35-44,West,Desktop,1933.69,58141,29451,7961,4492,733,27005.48,13.69,15.25,2.64,13.97,1296.58
17-02-2025,Campaign 5,Facebook,Explore,18-24,West,Mobile,1827.96,89943,35814,3722,9912,50,1845.81,4.14,27.68,36.56,1.01,0.98
18-02-2025,Campaign 12,Instagram,Feed,45+,North,Mobile,1900.88,69894,77868,3072,3772,509,28780.16,4.4,4.84,3.73,15.14,1414.04
19-02-2025,Campaign 9,Instagram,Reels,35-44,North,Desktop,1660.23,28583,38832,4734,9591,544,12640.7,16.56,24.7,3.05,7.61,661.38
20-02-2025,Campaign 3,Instagram,Reels,25-34,North,Mobile,735.71,96242,10445,1721,7357,518,29035.23,1.79,70.44,1.42,39.47,3846.56
21-02-2025,Campaign 3,Instagram,Feed,35-44,West,Desktop,1816.46,8360,34490,966,4811,899,28320.04,11.56,13.95,2.02,15.59,1459.08
22-02-2025,Campaign 1,Instagram,Feed,45+,North,Desktop,1964.28,55968,30767,5638,5743,21,681.52,10.07,18.67,93.54,0.35,-65.3
23-02-2025,Campaign 18,Facebook,Explore,18-24,North,Desktop,732.64,5743,47057,967,259,319,23982.76,16.84,0.55,2.3,32.73,3173.47
24-02-2025,Campaign 12,Instagram,Feed,18-24,North,Mobile,558.08,9159,74100,1183,6038,440,3437.01,12.92,8.15,1.27,6.16,515.86
25-02-2025,Campaign 9,Facebook,Stories,25-34,South,Mobile,1116.49,34151,42043,6546,680,392,16146.42,19.17,1.62,2.85,14.46,1346.18
26-02-2025,Campaign 9,Instagram,Reels,18-24,East,Desktop,414.95,2518,28946,1886,8511,81,3540.98,74.9,29.4,5.12,8.53,753.35
27-02-2025,Campaign 18,Instagram,Feed,18-24,East,Desktop,113.62,18652,37587,2188,7686,982,50165.92,11.73,20.45,0.12,441.52,44052.37
28-02-2025,Campaign 18,Instagram,Stories,45+,West,Mobile,1894.37,80461,4364,4057,4574,903,61906.11,5.04,104.81,2.1,32.68,3167.9
01-03-2025,Campaign 7,Facebook,Reels,35-44,West,Desktop,1855.19,73011,70854,1955,7173,375,15045.09,2.68,10.12,4.95,8.11,710.97
02-03-2025,Campaign 4,Facebook,Stories,18-24,South,Mobile,367.18,44348,57088,4039,9762,169,4266.92,9.11,17.1,2.17,11.62,1062.08
03-03-2025,Campaign 13,Facebook,Stories,45+,East,Mobile,845.09,77422,78015,3535,5159,613,54595.57,4.57,6.61,1.38,64.6,6360.33
04-03-2025,Campaign 17,Facebook,Feed,45+,North,Mobile,1670.52,79001,8398,4847,4428,621,60981.37,6.14,52.73,2.69,36.5,3550.44
05-03-2025,Campaign 2,Instagram,Reels,25-34,North,Desktop,1338.95,78757,3452,2170,1494,28,193.24,2.76,43.28,47.82,0.14,-85.57
06-03-2025,Campaign 14,Instagram,Stories,45+,West,Desktop,819.84,26395,34193,2782,1021,716,40750.68,10.54,2.99,1.15,49.71,4870.56
07-03-2025,Campaign 3,Facebook,Explore,25-34,East,Mobile,1501.13,4335,26345,7764,2873,39,1461.01,179.1,10.91,38.49,0.97,-2.67
08-03-2025,Campaign 5,Facebook,Reels,18-24,West,Desktop,1799.24,72112,75335,2819,4562,518,16220.66,3.91,6.06,3.47,9.02,801.53
09-03-2025,Campaign 14,Facebook,Explore,25-34,West,Desktop,1856.01,2500,60196,1371,4676,805,29698.15,54.84,7.77,2.31,16,1500.11
10-03-2025,Campaign 3,Instagram,Feed,45+,North,Mobile,788.76,94211,24053,3766,3534,848,55707.99,4,14.69,0.93,70.63,6962.73
11-03-2025,Campaign 7,Facebook,Explore,35-44,North,Mobile,388.44,10083,6015,3404,6833,858,19835.26,33.76,113.6,0.45,51.06,5006.39
12-03-2025,Campaign 18,Facebook,Reels,35-44,East,Desktop,1830.04,83256,9657,1578,9410,465,42650.62,1.9,97.44,3.94,23.31,2230.58
13-03-2025,Campaign 13,Instagram,Stories,18-24,West,Mobile,230.48,7543,52116,5367,1965,142,6997.88,71.15,3.77,1.62,30.36,2936.22
14-03-2025,Campaign 10,Facebook,Stories,18-24,South,Desktop,1457.29,70812,22951,7151,824,853,30648.12,10.1,3.59,1.71,21.03,2003.09
15-03-2025,Campaign 13,Instagram,Reels,35-44,East,Mobile,323.97,54237,27521,5201,811,578,44925.33,9.59,2.95,0.56,138.67,13767.13
16-03-2025,Campaign 16,Instagram,Stories,25-34,West,Mobile,809.3,98171,55431,4793,7810,815,5340.64,4.88,14.09,0.99,6.6,559.91
17-03-2025,Campaign 9,Instagram,Explore,18-24,East,Desktop,852.53,91716,11731,809,5180,713,32816.55,0.88,44.16,1.2,38.49,3749.31
18-03-2025,Campaign 2,Instagram,Stories,45+,East,Desktop,359.58,8613,19744,7064,490,893,34607.18,82.02,2.48,0.4,96.24,9524.33
19-03-2025,Campaign 5,Instagram,Stories,18-24,East,Desktop,1849.23,68863,64094,3462,9362,575,21349.72,5.03,14.61,3.22,11.55,1054.52
20-03-2025,Campaign 17,Facebook,Explore,25-34,South,Desktop,55.2,42540,19423,7875,4587,269,9958.86,18.51,23.62,0.21,180.41,17941.41
21-03-2025,Campaign 4,Facebook,Explore,18-24,South,Desktop,1792.93,78202,18568,1407,8216,337,2686.15,1.8,44.25,5.32,1.5,49.82
22-03-2025,Campaign 17,Instagram,Explore,45+,North,Mobile,1773.47,28255,48411,2240,6847,192,3734.6,7.93,14.14,9.24,2.11,110.58
23-03-2025,Campaign 9,Instagram,Feed,45+,North,Mobile,668.08,87666,4934,5915,6166,67,1238.1,6.75,124.97,9.97,1.85,85.32
24-03-2025,Campaign 20,Facebook,Explore,45+,West,Desktop,1423.35,24068,77945,3531,4594,824,81508.43,14.67,5.89,1.73,57.27,5626.52
25-03-2025,Campaign 2,Facebook,Explore,25-34,East,Mobile,542.98,51057,9172,998,3672,283,2010.93,1.95,40.03,1.92,3.7,270.35
26-03-2025,Campaign 18,Instagram,Feed,25-34,West,Desktop,1529.61,20946,28358,6237,7869,546,11396.11,29.78,27.75,2.8,7.45,645.03
27-03-2025,Campaign 11,Facebook,Stories,45+,North,Mobile,1144.18,22547,67313,2129,2411,175,17070.65,9.44,3.58,6.54,14.92,1391.95
28-03-2025,Campaign 13,Facebook,Explore,45+,South,Mobile,635.44,87237,20763,1816,6873,507,32794.98,2.08,33.1,1.25,51.61,5060.99
29-03-2025,Campaign 8,Instagram,Reels,25-34,North,Desktop,830.46,7769,49673,77,7005,968,46283.35,0.99,14.1,0.86,55.73,5473.22
30-03-2025,Campaign 1,Facebook,Explore,25-34,West,Desktop,1395.28,26883,68975,7213,3742,537,6702.99,26.83,5.43,2.6,4.8,380.4
31-03-2025,Campaign 17,Facebook,Explore,25-34,North,Desktop,1816.89,63340,8804,2520,6438,303,20791.2,3.98,73.13,6,11.44,1044.33
01-04-2025,Campaign 12,Facebook,Feed,35-44,West,Mobile,304.92,81199,48594,2588,2709,205,3708.71,3.19,5.57,1.49,12.16,1116.29
02-04-2025,Campaign 4,Facebook,Reels,25-34,West,Desktop,1164.16,37162,79748,209,9722,139,9558.01,0.56,12.19,8.38,8.21,721.02
03-04-2025,Campaign 13,Instagram,Stories,45+,West,Desktop,544.77,90388,68525,2942,6340,276,27054.01,3.25,9.25,1.97,49.66,4866.13
04-04-2025,Campaign 9,Facebook,Stories,35-44,West,Desktop,1612.68,87924,74404,5376,7906,539,29934.66,6.11,10.63,2.99,18.56,1756.21
05-04-2025,Campaign 7,Instagram,Reels,25-34,North,Desktop,186.96,35434,25604,4163,857,446,11300.77,11.75,3.35,0.42,60.44,5944.49
06-04-2025,Campaign 5,Facebook,Explore,45+,West,Desktop,1393.46,24102,23135,5272,5186,91,5860.58,21.87,22.42,15.31,4.21,320.58
07-04-2025,Campaign 5,Instagram,Feed,18-24,West,Desktop,391.14,23536,38918,7799,6320,35,1880.49,33.14,16.24,11.18,4.81,380.77
08-04-2025,Campaign 17,Instagram,Reels,35-44,East,Mobile,1212.95,79891,51849,7848,5702,125,6956.04,9.82,11,9.7,5.73,473.48
09-04-2025,Campaign 9,Facebook,Reels,45+,West,Mobile,1679.6,69770,31847,3772,9426,73,3680.67,5.41,29.6,23.01,2.19,119.14
10-04-2025,Campaign 6,Instagram,Stories,18-24,North,Mobile,1522.41,52388,44774,6865,6221,650,44853.48,13.1,13.89,2.34,29.46,2846.22
11-04-2025,Campaign 19,Instagram,Feed,45+,West,Mobile,1518.24,52775,61709,6425,9056,887,52629.98,12.17,14.68,1.71,34.67,3366.51
12-04-2025,Campaign 16,Instagram,Reels,25-34,South,Desktop,1059.8,33147,11680,3781,2825,965,95307.77,11.41,24.19,1.1,89.93,8893
13-04-2025,Campaign 2,Instagram,Feed,25-34,South,Desktop,1786.95,52526,56037,2521,3468,831,69352.79,4.8,6.19,2.15,38.81,3781.07
14-04-2025,Campaign 10,Instagram,Explore,18-24,West,Mobile,1196.81,25659,59914,5049,3597,500,15073.17,19.68,6,2.39,12.59,1159.45
15-04-2025,Campaign 16,Facebook,Stories,25-34,South,Mobile,1839.16,84096,27309,4900,8274,928,68622.69,5.83,30.3,1.98,37.31,3631.2
16-04-2025,Campaign 5,Instagram,Explore,45+,South,Mobile,1115.72,25088,11349,1620,9964,150,3803.78,6.46,87.8,7.44,3.41,240.93
17-04-2025,Campaign 15,Instagram,Feed,18-24,North,Desktop,1036.63,70464,76079,886,5742,988,78371.03,1.26,7.55,1.05,75.6,7460.17
18-04-2025,Campaign 13,Facebook,Explore,45+,East,Desktop,483.59,61998,61820,5039,8874,337,6409.06,8.13,14.35,1.43,13.25,1225.31
19-04-2025,Campaign 13,Facebook,Stories,45+,South,Desktop,1112.33,42382,75996,3988,4866,485,24243.99,9.41,6.4,2.29,21.8,2079.57
20-04-2025,Campaign 13,Instagram,Feed,45+,South,Mobile,324.14,30184,35553,2336,4733,910,72897.91,7.74,13.31,0.36,224.9,22389.64
21-04-2025,Campaign 15,Facebook,Reels,25-34,East,Mobile,1745.9,22099,29525,3455,1921,267,8440.06,15.63,6.51,6.54,4.83,383.42
22-04-2025,Campaign 14,Facebook,Explore,25-34,East,Mobile,1367.99,71810,6948,6342,1285,297,25104.32,8.83,18.49,4.61,18.35,1735.12
23-04-2025,Campaign 8,Facebook,Stories,45+,South,Mobile,1987.59,92506,15498,2720,1737,996,65929.54,2.94,11.21,2,33.17,3217.06
24-04-2025,Campaign 11,Facebook,Reels,35-44,West,Mobile,229.59,93280,19991,5577,7336,433,18517.08,5.98,36.7,0.53,80.65,7965.28
25-04-2025,Campaign 18,Facebook,Stories,45+,South,Desktop,519.31,39739,60790,4162,8480,90,4070.21,10.47,13.95,5.77,7.84,683.77
26-04-2025,Campaign 4,Facebook,Feed,45+,West,Desktop,1760.46,10389,8660,7107,1846,20,1859.38,68.41,21.32,88.02,1.06,5.62
27-04-2025,Campaign 10,Instagram,Feed,18-24,West,Desktop,820.75,19352,27245,6419,5897,732,18805.19,33.17,21.64,1.12,22.91,2191.22
28-04-2025,Campaign 1,Instagram,Explore,45+,West,Desktop,959.29,23148,1238,4797,8189,632,44789.49,20.72,661.47,1.52,46.69,4569.03
29-04-2025,Campaign 5,Facebook,Stories,25-34,East,Desktop,1728.27,33828,20920,5825,2720,122,8807.54,17.22,13,14.17,5.1,409.62
30-04-2025,Campaign 13,Facebook,Stories,18-24,South,Mobile,1067.56,70040,47659,4405,7697,274,25381.37,6.29,16.15,3.9,23.78,2277.51
01-05-2025,Campaign 1,Instagram,Stories,35-44,South,Desktop,427.28,58795,75874,5898,8102,399,29027.49,10.03,10.68,1.07,67.94,6693.55
02-05-2025,Campaign 8,Facebook,Feed,18-24,North,Mobile,1789.46,60620,43517,6867,6207,983,59495.49,11.33,14.26,1.82,33.25,3224.77
03-05-2025,Campaign 3,Instagram,Explore,35-44,East,Desktop,110.57,96279,76885,1677,9476,859,77945.35,1.74,12.32,0.13,704.94,70394.12
04-05-2025,Campaign 3,Facebook,Stories,18-24,North,Mobile,1796.02,96430,47350,6193,2893,166,13905.41,6.42,6.11,10.82,7.74,674.23
05-05-2025,Campaign 7,Instagram,Stories,18-24,North,Mobile,148.51,98531,78179,6367,2600,704,51458.01,6.46,3.33,0.21,346.5,34549.53
06-05-2025,Campaign 4,Instagram,Reels,35-44,West,Mobile,1348.41,59114,29274,1916,8461,108,874.25,3.24,28.9,12.49,0.65,-35.16
07-05-2025,Campaign 3,Facebook,Stories,25-34,East,Mobile,189.77,42711,46013,254,5025,657,26598.28,0.59,10.92,0.29,140.16,13916.06
08-05-2025,Campaign 15,Facebook,Explore,25-34,North,Mobile,1427.12,19748,40913,6608,1180,171,11120.05,33.46,2.88,8.35,7.79,679.2
09-05-2025,Campaign 8,Facebook,Reels,25-34,South,Mobile,116.24,90636,46819,3629,9555,304,16602.6,4,20.41,0.38,142.83,14183.04
10-05-2025,Campaign 3,Facebook,Reels,18-24,North,Desktop,1692.79,35691,78857,5322,4964,32,1130.73,14.91,6.29,52.9,0.67,-33.2
11-05-2025,Campaign 7,Instagram,Reels,45+,East,Mobile,958.59,90517,65910,3224,4553,428,8012.28,3.56,6.91,2.24,8.36,735.84
12-05-2025,Campaign 18,Facebook,Feed,18-24,South,Mobile,232.24,67282,24485,7931,2348,788,45337.32,11.79,9.59,0.29,195.22,19421.75
13-05-2025,Campaign 11,Instagram,Reels,45+,South,Desktop,1428.3,62360,3860,841,1425,566,18203.79,1.35,36.92,2.52,12.75,1174.51
14-05-2025,Campaign 11,Facebook,Stories,45+,South,Mobile,1004.12,12246,50875,7282,3973,887,24068.79,59.46,7.81,1.13,23.97,2297
15-05-2025,Campaign 17,Instagram,Feed,25-34,West,Desktop,422.35,61395,15919,4142,1788,160,6864.17,6.75,11.23,2.64,16.25,1525.23
16-05-2025,Campaign 6,Facebook,Feed,45+,South,Desktop,80.56,34486,74947,5286,3085,328,26115.91,15.33,4.12,0.25,324.18,32317.96
17-05-2025,Campaign 8,Facebook,Feed,18-24,West,Mobile,865.1,32340,10586,7882,2176,352,18073.82,24.37,20.56,2.46,20.89,1989.22
18-05-2025,Campaign 1,Instagram,Feed,18-24,West,Mobile,216.98,86874,52986,7373,9821,125,3195.84,8.49,18.54,1.74,14.73,1372.87
19-05-2025,Campaign 10,Facebook,Feed,25-34,North,Desktop,233.63,52300,24055,3797,1561,960,15461.57,7.26,6.49,0.24,66.18,6517.97
20-05-2025,Campaign 19,Facebook,Feed,35-44,North,Mobile,571.29,5086,35890,1155,9694,656,34376.89,22.71,27.01,0.87,60.17,5917.41
21-05-2025,Campaign 3,Facebook,Feed,18-24,South,Desktop,1279.39,93071,64081,6711,172,532,42807.28,7.21,0.27,2.4,33.46,3245.91
22-05-2025,Campaign 4,Facebook,Reels,45+,East,Mobile,1083.33,16860,29807,6003,6130,825,55289.61,35.6,20.57,1.31,51.04,5003.67
23-05-2025,Campaign 11,Facebook,Explore,18-24,South,Desktop,184.53,19013,48177,1140,4711,954,25809.65,6,9.78,0.19,139.87,13886.7
24-05-2025,Campaign 15,Instagram,Stories,18-24,North,Mobile,1938.44,9407,69625,7455,2896,565,26265.23,79.25,4.16,3.43,13.55,1254.97
25-05-2025,Campaign 1,Facebook,Stories,18-24,South,Mobile,1779.98,35542,15242,1657,7817,168,14489.48,4.66,51.29,10.6,8.14,714.02
26-05-2025,Campaign 9,Instagram,Reels,35-44,North,Desktop,555.49,26935,57317,7824,4616,66,1443.9,29.05,8.05,8.42,2.6,159.93
27-05-2025,Campaign 11,Facebook,Reels,45+,South,Desktop,288.56,51079,40978,1889,2593,344,19108.39,3.7,6.33,0.84,66.22,6521.98
28-05-2025,Campaign 19,Facebook,Feed,25-34,East,Desktop,1887.69,36111,17433,5124,4331,670,26024.14,14.19,24.84,2.82,13.79,1278.62
29-05-2025,Campaign 13,Instagram,Explore,18-24,South,Desktop,949.23,58550,34282,7203,3676,316,5307.88,12.3,10.72,3,5.59,459.18
30-05-2025,Campaign 16,Instagram,Feed,45+,East,Mobile,656.78,77697,77519,3447,8200,380,3701.53,4.44,10.58,1.73,5.64,463.59
31-05-2025,Campaign 4,Instagram,Reels,45+,East,Desktop,1006.2,91117,44578,6783,5828,350,20232.72,7.44,13.07,2.87,20.11,1910.81
01-06-2025,Campaign 1,Instagram,Feed,25-34,South,Desktop,1556.85,99813,71207,116,132,154,1073.56,0.12,0.19,10.11,0.69,-31.04
02-06-2025,Campaign 20,Instagram,Stories,18-24,East,Mobile,378.35,88936,25133,7393,4473,892,13226.02,8.31,17.8,0.42,34.96,3395.71
03-06-2025,Campaign 13,Facebook,Stories,35-44,East,Mobile,1546.62,78955,51317,4829,3698,589,22392.96,6.12,7.21,2.63,14.48,1347.86
04-06-2025,Campaign 1,Instagram,Feed,45+,North,Desktop,1511.42,42565,66950,7695,2492,585,5343.63,18.08,3.72,2.58,3.54,253.55
05-06-2025,Campaign 5,Instagram,Explore,25-34,North,Mobile,1101.73,21283,60612,1328,6805,981,42224.49,6.24,11.23,1.12,38.33,3732.56
06-06-2025,Campaign 5,Facebook,Feed,35-44,East,Desktop,1738.39,68470,65873,4208,6890,181,3146.63,6.15,10.46,9.6,1.81,81.01
07-06-2025,Campaign 14,Facebook,Feed,45+,West,Mobile,307.68,88916,63002,863,2777,358,13689.18,0.97,4.41,0.86,44.49,4349.16
08-06-2025,Campaign 14,Instagram,Explore,18-24,South,Desktop,1211.18,81552,53508,452,1501,518,41522.97,0.55,2.81,2.34,34.28,3328.31
09-06-2025,Campaign 8,Instagram,Explore,45+,East,Mobile,926.22,40233,39379,7975,917,313,20189.94,19.82,2.33,2.96,21.8,2079.82
10-06-2025,Campaign 4,Instagram,Explore,35-44,South,Desktop,873.47,24695,16231,6385,6303,123,5819.51,25.86,38.83,7.1,6.66,566.25
11-06-2025,Campaign 7,Facebook,Stories,35-44,North,Desktop,542.49,92488,42163,2052,9952,523,7177.74,2.22,23.6,1.04,13.23,1223.11
12-06-2025,Campaign 20,Instagram,Feed,18-24,South,Mobile,775.95,44734,32676,5498,4662,771,49204.62,12.29,14.27,1.01,63.41,6241.21
13-06-2025,Campaign 19,Facebook,Reels,18-24,East,Mobile,260.89,83257,56535,4216,4823,977,20079.71,5.06,8.53,0.27,76.97,7596.62
14-06-2025,Campaign 15,Facebook,Explore,25-34,East,Desktop,540.62,3505,47110,2975,2538,920,11293.65,84.88,5.39,0.59,20.89,1989.02
15-06-2025,Campaign 4,Facebook,Explore,18-24,East,Desktop,580.33,7363,47978,6934,6928,482,32814.38,94.17,14.44,1.2,56.54,5554.43
16-06-2025,Campaign 19,Facebook,Feed,25-34,East,Mobile,1455.3,50708,73369,3043,1310,418,38307.9,6,1.79,3.48,26.32,2532.3
17-06-2025,Campaign 9,Instagram,Reels,35-44,West,Mobile,144.67,45614,5752,1136,6741,591,28815.02,2.49,117.19,0.24,199.18,19817.76
18-06-2025,Campaign 13,Facebook,Feed,35-44,West,Mobile,1319.83,3010,25507,7514,699,355,3157.59,249.63,2.74,3.72,2.39,139.24
19-06-2025,Campaign 14,Facebook,Feed,45+,West,Mobile,481.75,21861,42495,4390,5580,510,45200.42,20.08,13.13,0.94,93.83,9282.55
20-06-2025,Campaign 14,Instagram,Explore,45+,East,Mobile,209.63,26125,61886,2616,1946,199,2261.14,10.01,3.14,1.05,10.79,978.63
21-06-2025,Campaign 10,Facebook,Explore,25-34,West,Mobile,636.57,11369,71559,4538,6692,191,16696.03,39.92,9.35,3.33,26.23,2522.81
22-06-2025,Campaign 16,Instagram,Stories,18-24,South,Mobile,487.72,71393,1982,821,7961,454,19169.17,1.15,401.66,1.07,39.3,3830.36
23-06-2025,Campaign 5,Facebook,Reels,18-24,East,Mobile,1126.46,28671,17146,3722,1987,500,19856.24,12.98,11.59,2.25,17.63,1662.71
24-06-2025,Campaign 6,Instagram,Reels,45+,North,Mobile,746.88,77400,55843,3298,779,519,29357.62,4.26,1.39,1.44,39.31,3830.7
25-06-2025,Campaign 2,Facebook,Explore,35-44,East,Desktop,1933.69,66512,77737,7421,3352,700,67146.14,11.16,4.31,2.76,34.72,3372.44
26-06-2025,Campaign 13,Facebook,Explore,25-34,South,Mobile,1928.92,77656,24636,1719,1935,851,76913.68,2.21,7.85,2.27,39.87,3887.4
